0,Published,Link,Title,Snippet
31,2020-08-01T17:45:41Z,https://timesofindia.indiatimes.com/india/centres-actions-have-globalised-kashmir-issue/articleshow/77307922.cms,'Centre’s actions have globalised Kashmir issue',
32,2020-08-01T17:31:51Z,https://timesofindia.indiatimes.com/city/hyderabad/dissolve-secunderabad-cantt-board-elected-body-urged-telangana-bjp/articleshow/77307725.cms,"Dissolve Secunderabad Cantt Board elected body, urged Telangana BJP","While in another 10 days, the tenure of current Secunderabad Cantonment Board (SCB) elected body, will be expired, the Telangana Bharatiya Janata Party, urged the ‘Ministry of Defence’ (MoD) to dissolve the body. On February 10, 2020, the MoD had issued orders regarding extension of the existing body’s tenure for six months."
33,2020-08-01T17:23:56Z,https://timesofindia.indiatimes.com/india/rajasthan-cm-gehlot-lacks-numbers-does-not-trust-his-mlas-bjp/articleshow/77307583.cms,"Rajasthan CM Gehlot lacks numbers, does not trust his MLAs: BJP",
34,2020-08-01T15:16:25Z,https://timesofindia.indiatimes.com/city/thiruvananthapuram/bjp-launches-18-day-long-satyagraha-demands-resignation-of-kerala-cm-over-gold-smuggling-case/articleshow/77302004.cms,"BJP launches 18-day long 'satyagraha', demands resignation of Kerala CM over gold smuggling case",The Bharatiya Janata Party (BJP) members on Saturday launched 18-day long 'satyagraha' demanding the resignation of Kerala chief minister Pinarayi Vijayan.
35,2020-08-01T14:40:01Z,https://timesofindia.indiatimes.com/city/agra/up-cops-arrest-two-azamgarh-based-shooters-hired-to-eliminate-bjp-leaders-nephew/articleshow/77305382.cms,UP: Cops arrest two Azamgarh-based shooters hired to eliminate BJP leader's nephew,"A team of Firozabad police led by IG Agra range Satish Ganesh and SP Sachindra Patel on Saturday arrested two Azamgarh-based shooters hired to eliminate a prominent BJP national general secretary’s nephew (41), to help a murder accuse set free."
36,2020-08-01T14:20:21Z,https://timesofindia.indiatimes.com/india/if-high-command-forgives-rebels-i-will-welcome-them-back-ashok-gehlot/articleshow/77301774.cms,"If high command forgives rebels, I will welcome them back: Ashok Gehlot","Rajasthan CM Ashok Gehlot on Saturday urged PM Modi to get the alleged attempt to topple his government stopped and said he is open to welcoming back the Congress rebels led by Sachin Pilot. Gehlot said if the Congress high command forgives the dissidents, he will embrace them."
37,2020-08-01T13:40:14Z,https://timesofindia.indiatimes.com/india/bjp-to-join-hands-with-vhp-to-honour-kar-sevaks-of-ram-janma-bhoomi-movement/articleshow/77304283.cms,BJP to join hands with VHP to honour Kar Sevaks of Ram Janma Bhoomi movement,
38,2020-08-01T11:01:11Z,https://timesofindia.indiatimes.com/india/3-more-states-join-one-nation-one-ration-card-scheme-jp-nadda/articleshow/77301552.cms,3 more states join 'One Nation One Ration Card' scheme: JP Nadda,"BJP chief JP Nadda on Saturday said that three more states - Manipur, Nagaland, Uttarakhand - along with the UT of J&K have joined the 'One Nation One Ration Card' scheme of the Centre. Nadda congratulated PM Modi and Union minister Ram Vilas Paswan for the move. Paswan had earlier said that this facility had been started in 12 states in the country."
39,2020-08-01T08:52:13Z,https://timesofindia.indiatimes.com/city/bengaluru/corruption-row-bjp-sends-legal-notices-to-siddaramaiah-dks/articleshow/77291300.cms,"Corruption row: BJP sends legal notices to Siddaramaiah, DK Shivakumar","The state unit of the BJP on Friday sent legal notices to leader of opposition Siddaramaiah and state Congress chief DK Shivakumar on their Rs 2,000 crore graft allegation against the government in procurement of Covid-19 equipment and supplies."
40,2020-08-01T07:00:23Z,https://timesofindia.indiatimes.com/city/chennai/miffed-several-leaders-leave-bjp-in-tamil-nadu/articleshow/77298732.cms,"Miffed, several leaders leave BJP in Tamil Nadu","Disappointed at not being given due importance, several senior and district level functionaries of BJP’s Tamil Nadu unit are returning to their parent parties."
41,2020-08-01T06:58:15Z,https://timesofindia.indiatimes.com/city/patna/more-bjp-members-paswan-join-demand-for-a-cbi-probe/articleshow/77290710.cms,"SSR case: More BJP members, Ram Vilas Paswan join demand for a CBI probe","More BJP leaders, as also LJP’s Ram Vilas Paswan, have joined their colleagues’ campaign seeking justice for the family of actor Sushant Singh Rajput, who died by suicide in his Mumbai flat on June 14."
42,2020-08-01T06:21:23Z,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-bjp-chief-urges-cm-to-name-airport-madras-hc-metro-stations-after-ambedkar-and-vajpayee/articleshow/77297215.cms,Tamil Nadu BJP chief urges CM to rename two metro stations in Chennai after Ambedkar and Vajpayee,President of BJP’s Tamil Nadu unit L Murugan urged Tamil Nadu chief minister Edappadi K Palaniwami to name Airport metro station and Parrys (Madras High Court) metro station after Baba Ambedkar and Atal Bihari Vajpayee.
