0,Published,Link,Title,Snippet
8,"Kerala News | Press Trust of India | Saturday August 1, 2020",https://www.ndtv.com/kerala-news/bjp-launches-protest-to-seek-resignation-of-chief-minister-pinarayi-vijayan-in-gold-smuggling-case-2272528,Gold Smuggling Case: BJP Launches Protest To Seek Resignation Of Chief Minister,"The lone BJP legislator in Kerala, O Rajagopal on Saturday began a one-day fast at the party's state committee office demanding the chief minister''s resignation over the recent gold smuggling case."
9,"Delhi News | Reported by Sharad Sharma | Saturday August 1, 2020",https://www.ndtv.com/delhi-news/gautam-gambhirs-swipe-at-delhi-government-over-coronavirus-cases-2272500,"""Today They're Saying..."": Gautam Gambhir's Swipe Over Delhi Covid Cases",BJP MP Gautam Gambhir on Saturday hit out at the Aam Aadmi Party government in Delhi over its handling of the coronavirus situation in the capital. The cricketer-turned-MP referred to the state government's earlier estimation that there will be 5.5 lakh COVID-19 cases in Delhi by July 31.
10,"India News | Reported by Akhilesh Sharma, Edited by Chandrashekar Srinivasan | Saturday August 1, 2020",https://www.ndtv.com/india-news/ayodhya-ram-temple-event-uma-bharti-invited-for-ayodhya-event-no-invite-for-lk-advani-murli-manohar-joshi-2272470,"After Snub, LK Advani, MM Joshi To Get Phone Invite For Ayodhya Event","Veteran BJP leaders LK Advani and Murli Manohar Joshi will ""definitely be invited"" to the ground-breaking ceremony for buildingof a temple in UP'sAyodhya on August 5, sources in the trust set up to oversee the construction said on Saturday"
11,"Karnataka News | Press Trust of India | Saturday August 1, 2020",https://www.ndtv.com/karnataka-news/bs-yediyurappas-son-by-vijayendra-appointed-as-karnataka-bjp-vice-president-2272318,BS Yediyurappa's Son Appointed As Karnataka BJP Vice President,"Karnataka BJP President Nalin Kumar Kateel on Friday appointed Chief Minister BS Yediyurappa's son BY Vijayendra, among 10 others, as Vice Presidents for the party's state unit."
12,"India News | Press Trust of India | Saturday August 1, 2020",https://www.ndtv.com/india-news/cbi-should-take-over-sushant-singh-rajputs-death-case-bjps-sushil-modi-2272301,CBI Should Take Over Sushant Singh Rajput's Death Case: BJP's Sushil Modi,Bihar's Deputy Chief Minister Sushil Kumar Modi and state BJP president Sanjay Jaiswal on Friday flayed the Mumbai police for its handling of actor Sushant Singh Rajput's suicide case.
13,"India News | Press Trust of India | Friday July 31, 2020",https://www.ndtv.com/india-news/maharashtra-coalition-allies-in-live-in-relationship-says-devendra-fadnavis-2272282,"Maharashtra Coalition Allies In Live-In Relationship, Says Devendra Fadnavis","The MVA government of Shiv Sena, NCP and Congress is not a family, but the three parties are in a ""live-in relationship"", BJP leader Devendra Fadnavis said on Friday as he predicted that the dispensation would due to its internal differences."
14,"India News | Press Trust of India | Friday July 31, 2020",https://www.ndtv.com/india-news/former-bengal-mla-biplab-mitra-quits-bjp-returns-to-trinamool-2272267,"Former Bengal MLA Quits BJP, Returns To Trinamool","Within a little more than a year of switching over to the BJP, Biplab Mitra, a prominent leader of North Bengal, returned to the Trinamool Congress on Friday."
0,"India News | Edited by Deepshikha Ghosh | Friday July 31, 2020",https://www.ndtv.com/india-news/ashok-gehlot-claims-double-standard-in-bjps-opposition-to-mlas-merger-2272162,"""Double Standards"": Ashok Gehlot To BJP Over MLAs' Merger With Congress","Rajasthan Chief Minister Ashok Gehlot, who is left with a narrow majority after a revolt by his sacked deputy Sachin Pilot, hit out at the BJP today over its petition in court challenging the merger of six Bahujan Samaj Party (BSP) MLAs into the Congress last year."
1,"Karnataka News | Reported by Maya Sharma, Edited by Chandrashekar Srinivasan | Friday July 31, 2020",https://www.ndtv.com/karnataka-news/coronavirus-karnataka-on-karnataka-congresss-allegations-bjp-demands-unconditional-apology-2272136,"On Karnataka Congress's Covid Allegations, BJP Wants ""Unconditional Apology""","Karnataka BJP sent legal notices to Congress leaders DK Shivakumar and Siddaramaiah on Friday over ""baseless"" allegations of corruption in the procurement of medical equipment and supplies needed to fight the COVID-19 outbreak"
2,"India News | Press Trust of India | Friday July 31, 2020",https://www.ndtv.com/india-news/all-together-in-getting-sushant-rajputs-family-justice-senior-bjp-leader-2272054,All Together In Getting Sushant Rajput's Family Justice: Senior BJP Leader,"With the issue of actor Sushant Singh Rajput's death gaining significance in poll-bound Bihar, senior BJP leader Bhupender Yadav on Friday said people are together in getting his family justice."
3,"India News | Press Trust of India | Friday July 31, 2020",https://www.ndtv.com/india-news/gautam-gambhir-announces-plan-to-support-daughters-of-gb-road-sex-workers-2271703,BJP's Gautam Gambhir Announces Plan To Help Daughters Of Sex Workers,BJP MP from East Delhi Gautam Gambhir on Thursday announced an initiative to support daughters of sex workers in the GB Road area of the city.
4,"India News | Press Trust of India | Friday July 31, 2020",https://www.ndtv.com/india-news/hd-kumaraswamy-dk-shivakumar-indulging-in-adjustment-politics-bjp-leader-2271693,"BJP Leader Claims HD Kumaraswamy, DK Shivakumar Indulging In ""Adjustment Politics""","Newly nominated MLC and BJP leader CP Yogeshwar on Thursday claimed top leaders of JD(S) and Congress were indirectly supporting the state government and were indulging in ""adjustment politics""."
5,"India News | Press Trust of India | Friday July 31, 2020",https://www.ndtv.com/india-news/delhi-bjp-to-install-screens-for-telecast-of-ayodhya-event-2271686,Delhi BJP To Install Screens For Telecast Of Ayodhya Event,"The Delhi BJP will install giant LED screens across the city for people to watch groundbreaking ceremony for a grand Ram temple in Ayodhya on August 5, and will celebrate the occasion by lighting diyas, party leader Adesh Kumar Gupta said Thursday."
6,"India News | Edited by Deepshikha Ghosh | Thursday July 30, 2020",https://www.ndtv.com/india-news/rajasthan-high-court-notice-to-6-ex-bsp-mlas-who-switched-to-congress-2271463,High Court Notice To 6 Ex-BSP MLAs Key To Ashok Gehlot's Government,The Rajasthan Speaker and six former Bahujan Samaj Party (BSP) MLAs who merged into the Congress have been issued notice by the High Court on petitions by the BSP and BJP.
7,"India News | Written by Alok Pandey | Thursday July 30, 2020",https://www.ndtv.com/india-news/unnao-bjp-mla-pankaj-gupta-holds-overnight-sit-in-outside-police-station-says-cops-have-samajwadi-party-mindset-2271115,"""Negligent"": UP BJP MLA Holds Overnight Protest Outside Police Station","A BJP lawmaker in Uttar Pradesh's Unnao town held a five-hour long overnight sit-in with his supporters outside a police station, accusing the local policemen of having a ""casteist mindset"" and linking them with former chief minister Akshilesh Yadav's Samajwadi Party. He refused to call off the protest until senior police officers came to meet him ..."
8,"Delhi News | Press Trust of India | Wednesday July 29, 2020",https://www.ndtv.com/delhi-news/atishi-bjp-has-sent-defamation-notices-against-me-and-raghav-chadha-2271012,"""BJP Has Sent Defamation Notices Against Me And Raghav Chadha"" : Atishi","Aam Aadmi Party leaders Atishi and Raghav Chadha claimed Wednesday that the Leader of the House of the BJP-ruled North MCD, Yogesh Kumar, has sent defamation notices of Rs 1 crore to them for alleging corruption in municipal corporations."
9,"India News | Press Trust of India | Wednesday July 29, 2020",https://www.ndtv.com/india-news/bjp-mp-pragya-thakur-files-fir-in-bhopal-over-threatening-abusive-phone-calls-police-2270990,"Pragya Thakur Files FIR In Bhopal Over Threatening, Abusive Phone Calls: Police","Bhopal Police have filed an FIR against unidentified persons and launched a probe based on a complaint by BJP MP Pragya Singh Thakur over multiple calls threatening and abusing her, an official said on Wednesday."
